AccidentExpl;AccidentSeverityCategory;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;AccidentYear;AccidentMonth;AccidentWeekDay;AccidentHour;Latidute_wgs84;Longitude_wgs84;geometry
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Sonntag;10;47.37689266499263;8.554625081592011;POINT (8.554625978863475 47.376896139486654)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Sonntag;19;47.357997397518226;8.554242987363587;POINT (8.554243721489906 47.35800095083535)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Montag;10;47.41157515187444;8.545558938816002;POINT (8.545560093733929 47.4115785067827)
Abbiegeunfall;Unfall mit Schwerverletzten;False;True;False;Hauptstrasse;2019;1;Montag;21;47.39350190358171;8.539182986631408;POINT (8.539183924095626 47.39350534500505)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Dienstag;10;47.379958837490186;8.547273100156202;POINT (8.54727397404109 47.37996231582608)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Dienstag;12;47.3701666209629;8.548777580594665;POINT (8.54877838017492 47.37017013601543)
Auffahrunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Mittwoch;11;47.37436421281474;8.52162677186356;POINT (8.52162741729052 47.37436776760789)
Auffahrunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;2;Montag;12;47.3912394858772;8.538725655888936;POINT (8.538726569582092 47.3912429373727)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Freitag;9;47.361558409954796;8.554357187635501;POINT (8.55435795190964 47.361561948268005)
Auffahrunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;2;Freitag;18;47.3754634780188;8.56009061665635;POINT (8.560091538052484 47.37546694600721)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Hauptstrasse;2019;2;Sonntag;9;47.37354493421887;8.519782810175583;POINT (8.51978343565507 47.37354849594942)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Montag;10;47.375776846492315;8.54906652941265;POINT (8.549067379126074 47.375780337937314)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Nebenstrasse;2019;2;Dienstag;10;47.36628375724604;8.548458440386945;POINT (8.548459205082741 47.366287288931815)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Mittwoch;17;47.38550476386367;8.508582159122732;POINT (8.508582800264968 47.38550830018421)
Ueberqueren der Fahrbahn;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;2;Samstag;5;47.347327511092814;8.532777662426149;POINT (8.532778172140231 47.34733115312304)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Samstag;16;47.4068315801724;8.550574841032795;POINT (8.550575986833268 47.406834942396415)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Sonntag;13;47.375563304625544;8.560000021664074;POINT (8.560000943338624 47.37556677240879)
Ueberqueren der Fahrbahn;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;2;Dienstag;18;47.360294327266345;8.523697490888182;POINT (8.523698038573457 47.36029793449121)
Fussgaengerunfall;Unfall mit Sachschaden;True;True;False;Nebenstrasse;2019;2;Dienstag;18;47.38355368117226;8.530607432083748;POINT (8.53060821940655 47.38355718083593)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Mittwoch;17;47.390076707966756;8.51123031065612;POINT (8.511231010272864 47.39008022119333)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Mittwoch;19;47.41077100529732;8.554354015260452;POINT (8.55435522740724 47.41077434283654)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Donnerstag;7;47.369107941061756;8.517150709971826;POINT (8.517151280885292 47.36911152567603)
Abbiegeunfall;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;2;Donnerstag;21;47.37428899175369;8.543818308416668;POINT (8.54381910933389 47.374292500726405)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Montag;15;47.38789465705092;8.540471211303617;POINT (8.540472107572114 47.387898118179635)
Frontalkollision;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;2;Montag;17;47.39493596331271;8.51682549628023;POINT (8.516826280315618 47.394939446291716)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Montag;18;47.40685843265309;8.55058865112219;POINT (8.550589797284625 47.406861794737274)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Dienstag;8;47.35976192334633;8.508449680751404;POINT (8.508450117223024 47.3597655617644)
Tierunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;2;Dienstag;11;47.40718340929969;8.566256844941787;POINT (8.566258107287329 47.40718673266236)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Dienstag;15;47.374570043922155;8.541705448613975;POINT (8.541706237355088 47.37457355630095)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Mittwoch;8;47.36967396089798;8.538214593680031;POINT (8.538215317133465 47.36967750059969)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;2;Mittwoch;10;47.382471383421326;8.51461337264847;POINT (8.514614033737807 47.38247491990412)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Mittwoch;14;47.36118574346675;8.52551604929566;POINT (8.52551661654119 47.36118934350423)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Mittwoch;16;47.38328947345277;8.499094838663101;POINT (8.49909538954732 47.38329303641264)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;2;Donnerstag;13;47.36916057973338;8.538283450963654;POINT (8.53828417062801 47.369164121377864)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Freitag;10;47.37271245521876;8.525102163196498;POINT (8.525102819951353 47.372716009655825)
Auffahrunfall;Unfall mit Sachschaden;False;True;True;Nebenstrasse;2019;3;Freitag;14;47.37797101578168;8.548198482127388;POINT (8.54819934499102 47.37797450017884)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Samstag;15;47.36648953295991;8.542001710085962;POINT (8.542002433009907 47.36649307764337)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Montag;7;47.37384810758391;8.51718037354043;POINT (8.517180982689771 47.37385167323162)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;andere;2019;3;Montag;8;47.412060155449836;8.54563526896649;POINT (8.545636429205299 47.412063508253034)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Dienstag;13;47.39340809813411;8.537697447515988;POINT (8.537698373324833 47.39341154318468)
Ueberqueren der Fahrbahn;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Dienstag;18;47.3633226296329;8.533555923678499;POINT (8.533556563230109 47.36332620482017)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Nebenstrasse;2019;3;Dienstag;19;47.39087811759943;8.46659518459813;POINT (8.46659553768107 47.39088170811858)
Abbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Freitag;13;47.349937687359585;8.569957297091586;POINT (8.569958064316932 47.3499412394391)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Samstag;11;47.385639901099424;8.480003434420839;POINT (8.480003855153132 47.38564348907444)
Einbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Samstag;20;47.37145430846701;8.521143966090143;POINT (8.521144584383702 47.37145787585931)
Schleuder- oder Selbstunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Samstag;21;47.3712559495094;8.5288461505245;POINT (8.528846821828918 47.3712595022121)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Sonntag;0;47.388276227551756;8.528690900748579;POINT (8.528691715124976 47.388279712370085)
Ueberqueren der Fahrbahn;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Montag;7;47.3684777688254;8.556938165661036;POINT (8.556939005305106 47.368481272798455)
Auffahrunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Montag;8;47.37751361018558;8.499205090832517;POINT (8.499205596417452 47.37751719549121)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Nebenstrasse;2019;3;Montag;19;47.36779270650648;8.544941493581284;POINT (8.544942247247917 47.367796239588934)
Ueberqueren der Fahrbahn;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Dienstag;16;47.37022899742082;8.518470964828305;POINT (8.51847155413971 47.37023257497973)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Nebenstrasse;2019;3;Dienstag;18;47.3830184558659;8.53013293544481;POINT (8.530133714736111 47.38302195866524)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Mittwoch;17;47.39549060568138;8.540045358626614;POINT (8.54004632050397 47.39549403723968)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Freitag;7;47.3936682079695;8.509024187730011;POINT (8.509024901126876 47.393671711501945)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Freitag;8;47.37810799490258;8.49323128361572;POINT (8.49323174853106 47.378111588728785)
Schleuder- oder Selbstunfall;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;3;Samstag;15;47.35106298918885;8.513357805619526;POINT (8.513358211871287 47.35106665337548)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Montag;12;47.38386334744862;8.53400425450654;POINT (8.534005068954063 47.38386683870946)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Montag;16;47.41020017603497;8.541661191930523;POINT (8.541662304255292 47.410203545336685)
Frontalkollision;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Dienstag;20;47.36167443051382;8.523288695835781;POINT (8.523289251455777 47.36167803297171)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Mittwoch;8;47.358291628681606;8.587542234403232;POINT (8.587543179162132 47.35829510413794)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Mittwoch;9;47.38497987623364;8.531033973161534;POINT (8.531034775898672 47.384983369293295)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Mittwoch;12;47.38516520550474;8.532362208986578;POINT (8.532363022933776 47.385168695021804)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Mittwoch;12;47.3814944709234;8.503548649175128;POINT (8.503549219395707 47.38149803256959)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Freitag;15;47.36053418517722;8.597175159804765;POINT (8.597176181828033 47.36053762735921)
Auffahrunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Freitag;17;47.36873368742348;8.519658792486078;POINT (8.519659378330687 47.3687372686365)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Hauptstrasse;2019;3;Freitag;19;47.4143319241049;8.551672223040427;POINT (8.551673450795615 47.41433525374283)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Samstag;1;47.376505022152905;8.521630525500557;POINT (8.521631188546053 47.376508568387905)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Samstag;4;47.388351898960174;8.526387789106103;POINT (8.526388587236115 47.388355388287756)
Parkierunfall;Unfall mit Schwerverletzten;False;True;False;Hauptstrasse;2019;3;Samstag;23;47.37881540658351;8.509229251612332;POINT (8.509229842685805 47.37881896796255)
Schleuder- oder Selbstunfall;Unfall mit Schwerverletzten;False;True;False;Hauptstrasse;2019;3;Sonntag;16;47.3666827091534;8.542495580027584;POINT (8.542496307898842 47.36668625199919)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Sonntag;16;47.37118353714166;8.524117669542242;POINT (8.52411830682529 47.3711870996932)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Dienstag;10;47.373570446594954;8.516088957414478;POINT (8.51608955641265 47.37357401548285)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Mittwoch;8;47.36041008360817;8.526691683379068;POINT (8.526692252659476 47.36041368445183)
Schleuder- oder Selbstunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;3;Mittwoch;14;47.36866855058378;8.518929258080895;POINT (8.518929838207638 47.36867213348661)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Mittwoch;16;47.38226772021025;8.50163052882521;POINT (8.501631090774557 47.382271282432285)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Hauptstrasse;2019;3;Mittwoch;19;47.370302519333435;8.513480727350483;POINT (8.513481281334695 47.37030610627633)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Hauptstrasse;2019;3;Donnerstag;7;47.39908824413893;8.54197440204674;POINT (8.541975411235796 47.39909165700941)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Donnerstag;22;47.38192014414172;8.529276105998964;POINT (8.52927686969676 47.38192365312429)
Schleuder- oder Selbstunfall;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;3;Freitag;17;47.36523248421267;8.502442826610455;POINT (8.502443261116353 47.36523611191556)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Freitag;17;47.35316712842925;8.577266178360812;POINT (8.577267017063553 47.35317065006571)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Freitag;18;47.39512780759091;8.519399261031632;POINT (8.519400066279289 47.39513128456315)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Samstag;10;47.386183236329344;8.548236951333495;POINT (8.548237887263175 47.3861866872169)
Auffahrunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Samstag;13;47.40414815379697;8.563887266513014;POINT (8.563888481957715 47.40415149527001)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;3;Samstag;21;47.35763071211701;8.554023516427923;POINT (8.55402424612796 47.357634267433006)
Schleuder- oder Selbstunfall;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;3;Sonntag;1;47.37246370451035;8.5428006261092;POINT (8.542801404500521 47.372467223111805)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Sonntag;10;47.34923739033988;8.532472711048957;POINT (8.532473233200616 47.34924102515786)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Sonntag;14;47.36148272860419;8.561239660159892;POINT (8.561240468432043 47.36148625196216)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;3;Sonntag;17;47.41552531361651;8.563133625987572;POINT (8.563134950158918 47.4155286108457)
Frontalkollision;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;4;Montag;6;47.38181172339007;8.529326862367045;POINT (8.529327625504141 47.381815232701214)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Montag;8;47.382379550898165;8.548104815677895;POINT (8.548105716700869 47.38238301753941)
Auffahrunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Montag;8;47.3770637712465;8.544312820004533;POINT (8.544313648179104 47.37706726785021)
Schleuder- oder Selbstunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Montag;13;47.38465348508061;8.53130541490688;POINT (8.531306216776967 47.384656978875604)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Montag;15;47.40067271937586;8.492670892420392;POINT (8.492671536959802 47.400676227207505)
Frontalkollision;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Montag;18;47.36745817142365;8.522347129411912;POINT (8.522347724144097 47.36746175245704)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Dienstag;14;47.37746657414715;8.498449339048014;POINT (8.498449838556157 47.37747016102236)
Einbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Donnerstag;8;47.37991488986058;8.490393294512675;POINT (8.490393751788707 47.37991848173507)
Schleuder- oder Selbstunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Donnerstag;13;47.41588435364698;8.51597718360824;POINT (8.515978151100501 47.415887756902556)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Freitag;13;47.33990668375546;8.529899462537;POINT (8.529899898368656 47.33991036185965)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Nebenstrasse;2019;4;Freitag;14;47.37268014571132;8.5502467298493;POINT (8.550247560837319 47.37268364723535)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Freitag;15;47.38151453205894;8.503323911928442;POINT (8.503324480613207 47.38151809404961)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Samstag;16;47.366440811368705;8.600189774879262;POINT (8.600190868221361 47.36644422060622)
Auffahrunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Samstag;19;47.374649335854436;8.538105321240591;POINT (8.538106085668135 47.374652855590035)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Sonntag;9;47.39046803100546;8.47925003078372;POINT (8.479250483521566 47.39047160185418)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Sonntag;17;47.376952600723634;8.535213010336879;POINT (8.535213774028005 47.37695611725354)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Hauptstrasse;2019;4;Montag;17;47.40231906144596;8.535191724216974;POINT (8.535192713318041 47.402322476475256)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Dienstag;16;47.37775646943796;8.537705900295336;POINT (8.537706688370584 47.37775997744253)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Mittwoch;8;47.375603211843604;8.54841405296624;POINT (8.548414896714851 47.37560670543511)
Einbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Mittwoch;10;47.370772151155144;8.508432223634308;POINT (8.508432744627552 47.370775745836994)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Donnerstag;18;47.37068628545598;8.524385604226264;POINT (8.524386239371806 47.3706898494669)
Parkierunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Freitag;9;47.376963069920684;8.543555916330737;POINT (8.54355673839549 47.376966568577366)
Schleuder- oder Selbstunfall;Unfall mit Sachschaden;False;True;True;Nebenstrasse;2019;4;Samstag;15;47.37272774023084;8.530160645282825;POINT (8.530161337971954 47.37273128431225)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Sonntag;18;47.373188507637934;8.503925676344442;POINT (8.503926183156846 47.37319210120501)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Dienstag;7;47.40369468808805;8.55778312238503;POINT (8.557784289909877 47.40369804601328)
Tierunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Dienstag;8;47.352180714160184;8.523691292564328;POINT (8.523691778006013 47.352184354235796)
Auffahrunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Dienstag;9;47.34185913802679;8.530799581687047;POINT (8.530800037680521 47.3418628063695)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Mittwoch;15;47.34336008159997;8.519462310873399;POINT (8.519462702642878 47.34336376553836)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Mittwoch;16;47.37658369999218;8.544660407005928;POINT (8.544661233437044 47.37658719779396)
Fussgaengerunfall;Unfall mit Schwerverletzten;True;True;False;Nebenstrasse;2019;4;Donnerstag;17;47.36604264898432;8.560382385652483;POINT (8.560383227053455 47.36604615531238)
Ueberholunfall oder Fahrstreifenwechsel;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;4;Freitag;20;47.38207253207136;8.529332197643123;POINT (8.52933296304821 47.38207604032716)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Sonntag;20;47.3855079922401;8.520793585847018;POINT (8.520794318252214 47.38551150434893)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Dienstag;17;47.38121823637303;8.503265022038024;POINT (8.503265587881138 47.38122179963459)
Frontalkollision;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;4;Dienstag;19;47.36409386156952;8.546069534163738;POINT (8.54607026467274 47.36409740739638)
Schleuder- oder Selbstunfall;Unfall mit Schwerverletzten;False;True;False;Nebenstrasse;2019;4;Mittwoch;12;47.349242514500666;8.56284829861982;POINT (8.562849016228446 47.34924608542448)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Mittwoch;15;47.37118366152629;8.52410443118194;POINT (8.524105068371984 47.37118722410385)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Donnerstag;16;47.427350331762014;8.552341862042597;POINT (8.552343227753994 47.42735360808201)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;4;Donnerstag;16;47.389459010074376;8.521522814306543;POINT (8.521523586038557 47.38946250505137)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Nebenstrasse;2019;4;Donnerstag;17;47.37607722394027;8.535512819537797;POINT (8.53551357791654 47.37608074337441)
